frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
81,53.4,0.626,0.6377,169.01,306.11,87,15,71,15,26,61
82,53.467,0.626,0.6377,169.01,306.11,93,15,77,15,34,59
83,53.533,0.626,0.6377,169.01,306.11,90,14,76,14,30,60
84,53.6,0.6259,0.6376,168.99,306.05,96,17,78,17,36,60
85,53.667,0.6259,0.6376,168.99,306.05,98,14,83,14,39,59
86,53.733,0.6259,0.6376,168.99,306.05,103,14,89,14,43,60
87,53.8,0.6259,0.6376,168.99,306.05,93,10,83,10,33,60
88,53.867,0.6259,0.6376,168.99,306.05,87,13,74,13,27,60
89,53.933,0.6259,0.6376,168.99,306.05,90,12,78,12,30,60
90,54,0.6259,0.6376,168.99,306.05,90,11,79,11,28,62
91,54.067,0.6258,0.6377,168.97,306.12,97,11,86,11,36,61
92,54.133,0.6259,0.6376,168.99,306.05,95,13,82,13,37,58
