frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
492,80.8,0.7764,0.8837,209.62,424.16,63,19,44,19,30,33
493,80.867,0.822,0.621,221.93,298.1,55,8,47,8,23,32
494,80.933,0.7764,0.8837,209.62,424.16,54,10,44,10,23,31
495,81,0.7999,0.6519,215.96,312.91,49,5,44,5,18,31
496,81.067,0.7764,0.8837,209.62,424.16,46,5,41,5,14,32
497,81.133,0.7606,0.8838,205.35,424.24,60,10,49,10,28,32
498,81.2,0.7409,0.8842,200.05,424.42,65,7,57,7,33,32
499,81.267,0.7241,0.8835,195.5,424.09,64,12,51,12,32,32
500,81.333,0.737,0.7342,198.98,352.42,63,9,53,9,32,31
501,81.4,0.7239,0.7571,195.46,363.42,55,7,47,7,23,32
502,81.467,0.7161,0.884,193.35,424.33,61,8,53,8,30,31
503,81.533,0.7097,0.8835,191.61,424.09,67,7,60,7,34,33
504,81.6,0.6835,0.8131,184.55,390.27,69,5,64,5,36,33
505,81.667,0.6794,0.8837,183.44,424.16,57,11,45,11,27,30
506,81.733,0.6872,0.8836,185.55,424.13,56,15,41,15,28,28
507,81.8,0.7064,0.8847,190.73,424.66,54,16,38,16,26,28
508,81.867,0.7097,0.8835,191.61,424.09,52,7,44,7,25,27
509,81.933,0.7016,0.8837,189.44,424.16,60,8,51,8,32,28
510,82,0.6845,0.8842,184.82,424.43,48,8,40,8,20,28
511,82.067,0.6845,0.8842,184.82,424.43,46,6,38,6,19,27
512,82.133,0.6845,0.8842,184.82,424.43,51,6,45,6,22,29
513,82.2,0.6794,0.8835,183.45,424.07,55,9,46,9,26,29
514,82.267,0.6614,0.8844,178.57,424.52,58,7,51,7,29,29
515,82.333,0.6428,0.8835,173.55,424.07,62,8,54,8,32,30
516,82.4,0.6259,0.8843,168.98,424.47,61,8,52,8,31,30
517,82.467,0.6061,0.884,163.65,424.33,55,5,50,5,26,29
518,82.533,0.5903,0.8837,159.38,424.16,49,6,42,6,22,27
519,82.6,0.5713,0.8841,154.26,424.35,57,5,51,5,26,31
520,82.667,0.5681,0.8835,153.39,424.09,52,6,46,6,25,27
521,82.733,0.5681,0.8835,153.39,424.09,55,10,44,10,27,28
522,82.8,0.5681,0.8835,153.39,424.09,48,7,40,7,21,27
523,82.867,0.5681,0.8835,153.39,424.09,55,9,45,9,26,29
524,82.933,0.5681,0.8835,153.39,424.09,53,10,41,10,26,27
525,83,0.5681,0.8835,153.39,424.09,48,9,38,9,21,27
526,83.067,0.5681,0.8835,153.39,424.09,49,6,41,6,20,29
527,83.133,0.5681,0.8835,153.39,424.09,51,9,42,9,23,28
528,83.2,0.5681,0.8835,153.39,424.09,49,5,44,5,21,28
529,83.267,0.5681,0.8835,153.39,424.09,58,10,48,10,30,28
530,83.333,0.5681,0.8835,153.39,424.09,55,8,47,8,27,28
531,83.4,0.5681,0.8835,153.39,424.09,55,8,45,8,27,28
532,83.467,0.5681,0.8837,153.38,424.16,57,10,46,10,30,27
533,83.533,0.5537,0.8836,149.5,424.14,53,6,47,6,25,28
534,83.6,0.5459,0.8837,147.38,424.16,51,7,43,7,24,27
