frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,projectile_like_count,attacker_like_count
189,20.6,0.4513,0.76,121.86,364.82,50,11,8,42
190,20.667,0.4876,0.7604,131.64,365,50,11,9,41
191,20.733,0.4893,0.76,132.1,364.8,48,9,7,41
192,20.8,0.4967,0.76,134.1,364.8,48,9,7,41
193,20.867,0.5242,0.7611,141.53,365.32,47,9,7,40
194,20.933,0.5337,0.7602,144.11,364.89,46,9,5,41
195,21,0.5411,0.7602,146.11,364.89,45,9,4,41
196,21.067,0.5541,0.761,149.62,365.29,48,12,7,41
197,21.133,0.5541,0.761,149.62,365.29,47,12,5,42
198,21.2,0.5541,0.761,149.62,365.29,47,11,5,42
199,21.267,0.5673,0.7618,153.16,365.65,50,13,8,42
200,21.333,0.5708,0.7602,154.11,364.89,49,11,7,42
201,21.4,0.5848,0.7615,157.9,365.52,50,12,8,42
202,21.467,0.6202,0.7616,167.44,365.56,49,11,7,42
203,21.533,0.6136,0.7616,165.67,365.56,47,11,5,42
204,21.6,0.6291,0.7599,169.86,364.76,48,11,6,42
205,21.667,0.6539,0.7608,176.56,365.18,50,10,8,42
206,21.733,0.6821,0.762,184.17,365.75,50,11,8,42
207,21.8,0.6739,0.7601,181.96,364.87,50,11,8,42
208,21.867,0.7108,0.7614,191.91,365.48,46,11,5,41
209,21.933,0.7177,0.7613,193.77,365.41,48,12,7,41
210,22,0.7177,0.7613,193.77,365.41,47,11,6,41
211,22.067,0.7177,0.7613,193.77,365.41,47,10,7,40
212,22.133,0.7177,0.7613,193.77,365.41,45,10,5,40
213,22.2,0.7177,0.7613,193.77,365.41,46,10,6,40
214,22.267,0.7177,0.7613,193.77,365.41,47,10,6,41
215,22.333,0.7091,0.7602,191.46,364.88,47,10,6,41
216,22.4,0.6879,0.7601,185.74,364.83,46,9,5,41
217,22.467,0.6879,0.7601,185.74,364.83,46,9,5,41
218,22.533,0.7031,0.7609,189.83,365.24,47,9,6,41
219,22.6,0.6959,0.7617,187.88,365.62,47,9,6,41
220,22.667,0.6652,0.7601,179.62,364.85,47,9,6,41
221,22.733,0.6656,0.76,179.7,364.78,51,9,10,41
222,22.8,0.6652,0.7601,179.62,364.85,47,9,6,41
223,22.867,0.6652,0.7601,179.62,364.85,50,10,9,41
224,22.933,0.6652,0.7601,179.62,364.85,45,10,4,41
225,23,0.6652,0.7601,179.62,364.85,49,10,8,41
226,23.067,0.6651,0.7602,179.58,364.88,47,10,6,41
227,23.133,0.663,0.7611,179,365.32,53,10,10,43
228,23.2,0.6621,0.7613,178.76,365.41,57,11,16,41
229,23.267,0.6603,0.7616,178.28,365.55,62,11,23,39
230,23.333,0.6587,0.7616,177.85,365.56,75,12,38,37
231,23.4,0.6582,0.7617,177.72,365.64,78,13,54,24
232,23.467,0.6567,0.7619,177.32,365.73,86,13,68,18
233,23.533,,,,,63,14,51,12
234,23.6,,,,,33,15,28,5
235,23.667,,,,,0,0,0,0
236,23.733,,,,,0,0,0,0
237,23.8,,,,,0,0,0,0
238,23.867,,,,,0,0,0,0
239,23.933,,,,,0,0,0,0
240,24,,,,,0,0,0,0
241,24.067,,,,,0,0,0,0
242,24.133,0.5634,0.7602,152.11,364.89,33,10,5,28
243,24.2,0.5695,0.7622,153.78,365.83,31,9,4,27
244,24.267,0.5831,0.7614,157.43,365.49,32,9,4,28
245,24.333,0.5835,0.7624,157.56,365.94,32,10,4,28
246,24.4,0.5909,0.7624,159.56,365.94,31,10,3,28
247,24.467,0.6062,0.7601,163.68,364.84,35,11,7,28
248,24.533,0.6062,0.7601,163.68,364.84,31,11,4,27
249,24.6,0.6062,0.7601,163.68,364.84,32,12,5,27
250,24.667,0.6062,0.7601,163.68,364.84,35,14,6,29
251,24.733,0.6062,0.7601,163.68,364.84,33,14,4,29
252,24.8,0.6062,0.7601,163.68,364.84,33,14,4,29
253,24.867,0.6062,0.7601,163.68,364.84,34,14,6,28
254,24.933,0.6062,0.7601,163.68,364.84,33,13,5,28
255,25,0.6062,0.7601,163.68,364.84,35,14,7,28
256,25.067,0.6062,0.7601,163.68,364.84,29,10,3,26
257,25.133,0.6141,0.7601,165.8,364.83,29,11,3,26
258,25.2,0.6203,0.7621,167.47,365.79,34,14,7,27
259,25.267,0.6439,0.7599,173.86,364.76,32,11,5,27
260,25.333,0.6579,0.76,177.63,364.79,35,11,8,27
261,25.4,0.6882,0.7606,185.81,365.08,30,10,3,27
262,25.467,0.6882,0.7606,185.81,365.08,31,11,4,27
263,25.533,0.6882,0.7606,185.81,365.08,32,11,5,27
264,25.6,0.6882,0.7606,185.81,365.08,33,12,6,27
265,25.667,0.6882,0.7606,185.81,365.08,33,11,6,27
266,25.733,0.6735,0.761,181.85,365.26,33,11,6,27
