frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
876,718.4,,,,,53,10,41,10,24,29
877,718.467,,,,,54,11,41,11,25,29
878,718.533,0.2012,0.7861,54.33,377.33,56,12,44,12,28,28
879,718.6,,,,,57,8,48,8,28,29
880,718.667,,,,,52,4,48,4,23,29
881,718.733,0.1611,0.6531,43.5,313.5,60,9,50,9,29,31
882,718.8,,,,,55,11,43,11,27,28
883,718.867,0.1611,0.6687,43.5,321,54,6,48,6,24,30
884,718.933,,,,,56,13,43,13,28,28
885,719,,,,,56,10,45,10,27,29
886,719.067,,,,,57,10,47,10,28,29
887,719.133,,,,,50,8,42,8,20,30
888,719.2,,,,,49,4,45,4,20,29
889,719.267,0.2648,0.7792,71.5,374,54,10,43,10,25,29
890,719.333,,,,,53,11,41,11,23,30
891,719.4,,,,,48,6,42,6,19,29
892,719.467,0.3537,0.8479,95.5,407,58,13,45,13,28,30
893,719.533,0.3833,0.8729,103.5,419,53,10,43,10,23,30
894,719.6,0.413,0.8958,111.5,430,58,9,49,9,28,30
895,719.667,,,,,64,6,57,6,37,27
896,719.733,,,,,53,5,47,5,24,29
897,719.8,,,,,55,8,46,8,27,28
898,719.867,,,,,61,9,52,9,30,31
899,719.933,,,,,53,6,47,6,25,28
