frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
231,885.4,0.4028,0.8846,108.77,424.6,35,9,24,9,17,18
232,885.467,0.4206,0.8835,113.56,424.07,37,7,29,7,18,19
233,885.533,0.4374,0.8842,118.09,424.41,33,9,24,9,14,19
234,885.6,0.457,0.8837,123.38,424.16,32,6,25,6,14,18
235,885.667,0.4594,0.8846,124.03,424.62,35,6,29,6,17,18
236,885.733,0.4594,0.8846,124.03,424.62,39,9,30,9,23,16
237,885.8,0.4594,0.8846,124.03,424.62,40,9,31,9,24,16
238,885.867,0.4594,0.8846,124.03,424.62,40,7,32,7,24,16
239,885.933,0.4594,0.8846,124.03,424.62,42,9,31,9,26,16
240,886,0.4594,0.8846,124.03,424.62,50,6,41,6,33,17
241,886.067,0.4727,0.8837,127.62,424.16,38,9,29,9,23,15
242,886.133,0.482,0.8844,130.13,424.51,32,7,24,7,17,15
243,886.2,0.4817,0.8845,130.06,424.56,31,9,22,9,16,15
244,886.267,0.4817,0.8845,130.06,424.56,35,11,24,11,19,16
245,886.333,0.4817,0.8845,130.06,424.56,37,12,24,12,21,16
246,886.4,0.4817,0.8845,130.06,424.56,29,7,22,7,13,16
247,886.467,0.4817,0.8845,130.06,424.56,35,13,22,13,20,15
248,886.533,0.4817,0.8845,130.06,424.56,34,10,24,10,19,15
249,886.6,0.4817,0.8845,130.06,424.56,34,8,25,8,17,17
250,886.667,0.4818,0.8843,130.08,424.48,32,7,24,7,16,16
251,886.733,0.4818,0.8843,130.08,424.48,38,8,28,8,22,16
252,886.8,0.4817,0.8845,130.06,424.56,35,11,23,11,20,15
253,886.867,0.4817,0.8845,130.06,424.56,47,12,34,12,31,16
254,886.933,0.4817,0.8845,130.06,424.56,32,8,24,8,17,15
255,887,0.4817,0.8845,130.06,424.56,36,9,26,9,21,15
256,887.067,0.4817,0.8845,130.06,424.56,32,4,27,4,17,15
257,887.133,0.4817,0.8845,130.06,424.56,36,9,27,9,20,16
258,887.2,0.4817,0.8845,130.06,424.56,36,10,25,10,20,16
259,887.267,0.4923,0.8843,132.92,424.47,33,9,23,9,18,15
260,887.333,0.5095,0.8835,137.56,424.07,39,15,24,15,22,17
261,887.4,0.5236,0.8837,141.38,424.16,39,15,24,15,23,16
262,887.467,0.5236,0.8837,141.38,424.16,28,9,18,9,11,17
263,887.533,0.5236,0.8837,141.38,424.16,34,12,21,12,18,16
264,887.6,0.5236,0.8837,141.38,424.16,32,6,26,6,15,17
265,887.667,0.5236,0.8837,141.38,424.16,24,7,17,7,9,15
