frame_index,time_s,player_x_norm,player_y_norm,player_x_px,player_y_px,colored_component_count,lower_pressure_component_count,rack_region_component_count,active_pressure_component_count,projectile_like_count,attacker_like_count
853,236.867,0.4124,0.8838,111.35,424.24,92,9,83,9,33,59
854,236.933,0.4124,0.8838,111.35,424.24,92,9,83,9,32,60
855,237,0.4124,0.8838,111.35,424.24,86,9,76,9,29,57
856,237.067,0.4124,0.8838,111.35,424.24,82,8,74,8,24,58
857,237.133,0.4124,0.8838,111.35,424.24,91,7,83,7,32,59
858,237.2,0.4124,0.8838,111.35,424.24,90,6,84,6,33,57
859,237.267,0.4124,0.8838,111.35,424.24,93,8,83,8,36,57
860,237.333,0.4124,0.8838,111.35,424.24,98,10,86,10,41,57
861,237.4,0.4124,0.8838,111.35,424.24,102,10,90,10,45,57
862,237.467,0.4125,0.8837,111.38,424.16,90,11,77,11,34,56
863,237.533,0.4124,0.8838,111.35,424.24,91,10,80,10,35,56
864,237.6,0.4126,0.884,111.4,424.31,85,9,76,9,27,58
865,237.667,0.4124,0.8838,111.35,424.24,90,10,80,10,32,58
866,237.733,0.4124,0.8838,111.35,424.24,96,7,89,7,40,56
867,237.8,0.4124,0.8838,111.35,424.24,97,12,84,12,41,56
868,237.867,0.4124,0.8838,111.35,424.24,89,13,75,13,31,58
869,237.933,0.406,0.8837,109.62,424.16,96,11,84,11,38,58
870,238,0.3902,0.884,105.35,424.33,92,10,82,10,33,59
871,238.067,0.3902,0.884,105.35,424.33,93,10,82,10,36,57
872,238.133,0.3902,0.884,105.35,424.33,86,9,77,9,30,56
873,238.2,0.3902,0.884,105.35,424.33,93,9,84,9,37,56
874,238.267,0.3902,0.884,105.35,424.33,92,7,85,7,36,56
875,238.333,0.3902,0.884,105.35,424.33,89,10,77,10,34,55
876,238.4,0.3902,0.884,105.35,424.33,95,12,82,12,43,52
877,238.467,0.3902,0.884,105.35,424.33,90,12,78,12,36,54
878,238.533,0.3902,0.884,105.35,424.33,94,13,81,13,39,55
879,238.6,0.4027,0.8847,108.73,424.66,93,8,84,8,40,53
880,238.667,0.4206,0.8835,113.56,424.07,91,7,83,7,36,55
881,238.733,0.4375,0.8841,118.12,424.36,89,13,74,13,37,52
882,238.8,0.4372,0.8842,118.05,424.42,88,15,73,15,37,51
883,238.867,0.4372,0.8842,118.05,424.42,99,15,84,15,44,55
884,238.933,0.4372,0.8842,118.05,424.42,91,14,77,14,38,53
885,239,0.4372,0.8842,118.05,424.42,82,12,70,12,29,53
886,239.067,0.4504,0.8837,121.62,424.16,91,14,76,14,37,54
887,239.133,0.4702,0.8842,126.95,424.42,72,10,60,10,19,53
888,239.2,0.487,0.8836,131.5,424.14,84,9,74,9,31,53
889,239.267,0.5039,0.8845,136.06,424.56,84,12,71,12,32,52
890,239.333,0.5236,0.8837,141.38,424.16,84,12,71,12,31,53
891,239.4,0.5315,0.8836,143.5,424.14,88,14,73,14,35,53
892,239.467,0.5315,0.8836,143.5,424.14,89,11,78,11,35,54
893,239.533,0.5393,0.884,145.6,424.31,88,13,75,13,38,50
894,239.6,0.5591,0.8842,150.95,424.42,92,14,77,14,40,52
895,239.667,0.5617,0.8838,151.65,424.24,85,12,72,12,32,53
896,239.733,0.5617,0.8838,151.65,424.24,84,9,75,9,30,54
897,239.8,0.5617,0.8838,151.65,424.24,84,10,74,10,31,53
898,239.867,0.571,0.8844,154.18,424.49,87,11,76,11,33,54
899,239.933,0.6209,0.6283,167.64,301.59,92,12,80,12,40,52
